date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1970-03-19,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1951,1 Piston engine,Unknown,Flight,Spraying (Agricultural),"Plain, Valley","Nikolayevo-Kozlovski, Rostov oblast",Russia,Asia,47.2205779,38.3617278,Destroyed,2,2,0,Human factor
1970-03-21,Accident,Douglas C-47 Skytrain (DC-3),Aircraft Charters,1944,Multi Piston Engines,Unknown,Flight,Cargo,"Plain, Valley","Melchor Ocampo, Nuevo León",Mexico,Central America,26.044443,-99.49383632649023,Destroyed,2,2,0,Unknown
1970-03-22,Accident,Douglas DC-3,Comisión Federal de Electricidad,1936,Multi Piston Engines,Unknown,Unknown,Government,Airport (less than 10 km from airport),"Ciudad Alemán-General Miguel Alemán, Veracruz",Mexico,Central America,23.6585116,-102.0077097,Destroyed,0,0,0,Unknown
1970-03-22,Unknown,Beechcraft C-45 Expeditor,Commuter Airlines,1954,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Binghamton, New York",United States of America,North America,42.098698,-75.9125187,Unknown,11,3,0,Human factor
1970-03-24,Accident,De Havilland DHC-4 Caribou,Royal Thai Police (Tamruat Haeng Chat),1966,Multi Piston Engines,Unknown,Flight,Survey / Patrol / Reconnaissance,Mountains,"Mt Nang Keo, Chiang Mai (เชียงใหม่)",Thailand,Asia,14.8971921,100.83273,Destroyed,6,6,0,Unknown
1970-03-25,Unknown,Beechcraft 80 Queen Air,Ingersoll Steel & Disc Company,1965,Unknown,Unknown,Takeoff (climb),Executive/Corporate/Business,Airport (less than 10 km from airport),"Chicago-Executive (Palwaukee), Illinois",United States of America,North America,39.7837304,-100.445882,Unknown,2,1,0,Human factor
1970-03-26,Unknown,Fletcher FU-24,Hazair Agricultural Services,1957,Unknown,Unknown,Flight,Spraying (Agricultural),"Plain, Valley","Cowra, New South Wales",Australia,Oceania,-33.81112855,148.69356492886283,Unknown,1,1,0,Unknown
1970-03-28,Unknown,De Havilland DHC-2 Beaver,Alert Bay Air Services,1952,Unknown,Unknown,Flight,Survey / Patrol / Reconnaissance,Mountains,"Mt Kennedy, British Columbia",Canada,North America,49.3499829,-120.5783439,Unknown,4,4,0,Human factor
1970-03-28,Accident,Fokker F27 Friendship,DETA Mozambique Airlines - Direcção de Exploração dos Transportes Aéreos,1962,Multi Turboprop Engines,Unknown,Takeoff (climb),Training,Airport (less than 10 km from airport),"Lourenço Marques, Maputo City District",Mozambique,Africa,-19.302233,34.9144977,Destroyed,4,4,0,Unknown
1970-03-30,Unknown,De Havilland DHC-4 Caribou,Royal Malaysian Air Force - Tentera Udara Diraja Malaysia,1969,Unknown,Unknown,Flight,Military,"Lake, Sea, Ocean, River","Cowie Bay, Sabah",Malaysia,Asia,4.5693754,102.2656823,Unknown,19,10,0,Unknown
