name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
EUROCOPTER AS-532SC Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER AS-532AL Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER AS-332M1 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER AS-332L1 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
DIRGANTARA Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
DIRGANTARA NAS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
CASA Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
CASA Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
CASA AS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
ATLAS Oryx,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
ATLAS SA-330 Oryx,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-532UC Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332C Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
AEROSPATIALE AS-332F1 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
