name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
BOEING E-6 Mercury,BOEING,E-6 Mercury,Narrow,,Fixed Wing,,Jet,Multi,45.20 m,45.80 m,12.90 m,"['BOEING Mercury', 'BOEING E-6 Mercury']"
BOEING 737-700 AEWC,BOEING,737-700 AEWC,Narrow,,Fixed Wing,,Jet,Multi,35.80 m,33.60 m,12.50 m,"['BOEING Wedgetail', 'BOEING 737-700 Wedgetail']"
BOEING F-15 Strike Eagle,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m,"['MCDONNELL DOUGLAS Akef', 'MCDONNELL DOUGLAS Baz', ""MCDONNELL DOUGLAS F-15 Ra'am"", 'MCDONNELL DOUGLAS F-15 Eagle', 'MCDONNELL DOUGLAS F-15 Baz', 'MCDONNELL DOUGLAS Eagle', 'MCDONNELL DOUGLAS F-15 Akef', 'MITSUBISHI Eagle', 'MITSUBISHI F-15 Eagle', ""MCDONNELL DOUGLAS Ra'am"", 'BOEING Slam Eagle', ""BOEING Ra'am"", 'BOEING F-15 Slam Eagle', 'BOEING F-15 Eagle', ""BOEING F-15 Ra'am"", 'BOEING Eagle']"
BOEING F-18 Hornet,BOEING,F-18 Hornet,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,12.30 m,17.10 m,4.70 m,"['VALMET Hornet', 'VALMET FA-18 Hornet', 'SF Hornet', 'SF FA-18 Hornet', 'MCDONNELL DOUGLAS CF-18 Hornet', 'MCDONNELL DOUGLAS ATF-18 Hornet', 'MCDONNELL DOUGLAS AF-18 Hornet', 'MCDONNELL DOUGLAS Hornet', 'MCDONNELL DOUGLAS FA-18 Hornet', 'MCDONNELL DOUGLAS CF-188 Hornet', 'MCDONNELL DOUGLAS EF-18 Hornet', 'FINAVITEC FA-18 Hornet', 'FINAVITEC Hornet', 'GAF AF-18 Hornet', 'GAF ATF-18 Hornet', 'GAF Hornet', 'BOEING Hornet', 'BOEING FA-18 Hornet', 'ASTA Hornet', 'ASTA AF-18 Hornet', 'ASTA ATF-18 Hornet']"
BOEING Chinook,BOEING,Chinook,,Three-blade tandem rotors,Rotary,Tail rotor on top of fuselage,Turboshaft,Multi,18.30 m,30.10 m,5.70 m,"['MERIDIONALI Chinook', 'MERIDIONALI CH-47 Chinook', 'KAWASAKI Chinook', 'KAWASAKI CH-47 Chinook', 'BOEING JCH-47 Chinook', 'BOEING HH-47', 'BOEING VERTOL Chinook', 'BOEING VERTOL JCH-47 Chinook', 'BOEING VERTOL MH-47 Chinook', 'BOEING VERTOL 114', 'BOEING VERTOL CH-47 Chinook', 'BOEING VERTOL 414', 'BOEING VERTOL 234', 'BOEING MH-47 Chinook', 'BOEING Chinook', 'BOEING CH-47 Chinook']"
BOEING KC-135,BOEING,KC-135,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,39.90 m,41.50 m,12.70 m,"['BOEING KC-135D Stratotanker', 'BOEING Stratotanker (TF33 engines)', 'BOEING KC-135E Stratotanker']"
BOEING KC-135,BOEING,KC-135,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Jet,Multi,39.90 m,41.50 m,12.70 m,"['BOEING KC-135R Stratotanker', 'BOEING Stratotanker (CFM56 engines)', 'BOEING KC-135T Stratotanker', 'BOEING C-135FR Stratotanker']"
BOEING RC-135,BOEING,RC-135,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,39.90 m,41.50 m,12.70 m,['BOEING RC-135']
BOEING 787-10 Dreamliner,BOEING,787-10 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,68.30 m,16.90 m,
BOMBARDIER BD-500 CSeries CS100,BOMBARDIER,BD-500 CSeries CS100,,Low wing (winglets),Fixed Wing,Regular tail (Dihedral),Jet,Multi,35.10 m,35.00 m,11.50 m,"['BOMBARDIER CSeries CS100', 'BOMBARDIER BD-500 CSeries CS100']"
BOMBARDIER BD-500 CSeries CS300,BOMBARDIER,BD-500 CSeries CS300,Narrow,Low wing (winglets),Fixed Wing,Regular tail (Dihedral),Jet,Multi,35.10 m,38.70 m,11.50 m,"['BOMBARDIER CSeries CS300', 'BOMBARDIER BD-500 CSeries CS300']"
BOMBARDIER Challenger 300,BOMBARDIER,Challenger 300,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,18.40 m,20.90 m,6.10 m,"['BOMBARDIER Challenger 350', 'BOMBARDIER Challenger 300', 'BOMBARDIER BD-100 Challenger 300']"
BOMBARDIER Challenger 600,BOMBARDIER,Challenger 600,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,19.60 m,20.85 m,6.30 m,"['CANADAIR Challenger 650', 'CANADAIR C-143 Challenger 604', 'CANADAIR CL-600 Challenger 604', 'CANADAIR CL-600 Challenger 601', 'CANADAIR CL-600 Challenger 600', 'CANADAIR CL-600 Challenger 605', 'CANADAIR Challenger 605', 'CANADAIR Challenger 604', 'CANADAIR Challenger 601', 'CANADAIR Challenger 600', 'CANADAIR CE-144A Challenger 600', 'CANADAIR CC-144B Challenger 601', 'CANADAIR CC-144 Challenger 600']"
BOMBARDIER Regional Jet CRJ-100,BOMBARDIER,Regional Jet CRJ-100,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,21.21 m,26.80 m,6.30 m,"['CANADAIR CL-600 Regional Jet RJ-100', 'CANADAIR Regional Jet CRJ-100', 'CANADAIR Regional Jet RJ-100', 'CANADAIR CL-600 Regional Jet CRJ-100']"
BOMBARDIER Regional Jet CRJ-200,BOMBARDIER,Regional Jet CRJ-200,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,21.21 m,26.80 m,6.30 m,"['CANADAIR Special Edition', 'CANADAIR Regional Jet RJ-200', 'CANADAIR Regional Jet CRJ-440', 'CANADAIR Regional Jet CRJ-200', 'CANADAIR Challenger 850', 'CANADAIR Challenger 800', 'CANADAIR CL-600 Challenger 850', 'CANADAIR CL-600 Challenger 800', 'CANADAIR Corporate Jetliner', 'CANADAIR CL-600 Special Edition', 'CANADAIR CL-600 Regional Jet RJ-200', 'CANADAIR CL-600 Regional Jet CRJ-440', 'CANADAIR CL-600 Regional Jet CRJ-200', 'CANADAIR CL-600 Corporate Jetliner']"
BOMBARDIER Regional Jet CRJ-700,BOMBARDIER,Regional Jet CRJ-700,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,23.24 m,32.51 m,7.57 m,"['CANADAIR Regional Jet CRJ-700', 'CANADAIR Regional Jet CRJ-701', 'CANADAIR CL-600 Challenger 870', 'CANADAIR Challenger 870', 'CANADAIR CL-600 Regional Jet CRJ-701', 'CANADAIR CL-600 Regional Jet CRJ-700']"
BOMBARDIER Regional Jet CRJ-900,BOMBARDIER,Regional Jet CRJ-900,Narrow,,Fixed Wing,,Jet,Multi,23.30 m,36.20 m,7.50 m,"['CANADAIR Regional Jet CRJ-900', 'CANADAIR Challenger 890', 'CANADAIR CL-600 Regional Jet CRJ-705', 'CANADAIR Regional Jet CRJ-705', 'CANADAIR CL-600 Challenger 890', 'CANADAIR CL-600 Regional Jet CRJ-900']"
BOMBARDIER Regional Jet CRJ-1000,BOMBARDIER,Regional Jet CRJ-1000,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,26.20 m,39.10 m,7.50 m,"['BOMBARDIER CL-600-2E25 Regional Jet CRJ-1000', 'BOMBARDIER Regional Jet CRJ-1000', 'BOMBARDIER CL-600 Regional Jet CRJ-1000']"
BOMBARDIER Dash 8 Q200,BOMBARDIER,Dash 8 Q200,Narrow,,Fixed Wing,,Turboprop,Multi,25.89 m,22.25 m,7.49 m,"['DE HAVILLAND CANADA DHC-8-200 Dash 8', 'DE HAVILLAND CANADA Dash 8 (200)']"
BOMBARDIER Dash 8 Q300,BOMBARDIER,Dash 8 Q300,Narrow,,Fixed Wing,,Turboprop,Multi,27.43 m,25.68 m,7.49 m,"['DE HAVILLAND CANADA Dash 8 (300)', 'DE HAVILLAND CANADA DHC-8-300 Dash 8']"
BOMBARDIER Dash 8 Q400,BOMBARDIER,Dash 8 Q400,Narrow,,Fixed Wing,,Turboprop,Multi,28.40 m,32.81 m,8.30 m,"['DE HAVILLAND CANADA Dash 8 (400)', 'DE HAVILLAND CANADA DHC-8-400 Dash 8']"
BOMBARDIER Global 5000,BOMBARDIER,Global 5000,Narrow,,Fixed Wing,,Jet,Multi,28.65 m,28.69 m,7.70 m,"['BOMBARDIER Global 5000', 'BOMBARDIER BD-700 Global 5000']"
BOMBARDIER Global 7000,BOMBARDIER,Global 7000,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,31.70 m,33.90 m,8.20 m,
BOMBARDIER Global Express,BOMBARDIER,Global Express,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,26.90 m,30.30 m,7.60 m,"['BOMBARDIER Global 6000', 'RAYTHEON Sentinel', 'BOMBARDIER Sentinel', 'BOMBARDIER Global Express', 'BOMBARDIER BD-700 Global Express']"
BREGUET 1150 Atlantic,BREGUET,1150 Atlantic,Narrow,Mid wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,37.36 m,31.75 m,11.34 m,"['DASSAULT Atlantique 2', 'DASSAULT Atlantic', 'DASSAULT 1150 Atlantic', 'BREGUET 1150 Atlantic', 'BREGUET Atlantic']"
BRITISH AEROSPACE ATP,BRITISH AEROSPACE,ATP,Narrow,Low wing,Fixed Wing,Regular tail (Dihedral),Turboprop,Multi,30.63 m,26.00 m,,"['JETSTREAM 61', 'BRITISH AEROSPACE ATP']"
BRITISH AEROSPACE BAe-146-100,BRITISH AEROSPACE,BAe-146-100,,High wing,Fixed Wing,T-tail,Jet,Multi,26.21 m,26.20 m,8.61 m,"['BRITISH AEROSPACE Statesman (100)', 'BRITISH AEROSPACE BAe-146-100 Statesman', 'BRITISH AEROSPACE BAe-146-100']"
BRITISH AEROSPACE BAe-146-200,BRITISH AEROSPACE,BAe-146-200,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,26.34 m,28.60 m,8.59 m,"['BRITISH AEROSPACE BAe-146-200 Quiet Trader', 'BRITISH AEROSPACE BAe-146-200', 'BRITISH AEROSPACE Quiet Trader', 'BRITISH AEROSPACE Statesman (200)', 'BRITISH AEROSPACE BAe-146-200 Statesman']"
BRITISH AEROSPACE BAe-146-300,BRITISH AEROSPACE,BAe-146-300,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,26.21 m,30.99 m,8.59 m,['BRITISH AEROSPACE BAe-146-300']
BRITISH AEROSPACE BAC One-Eleven,BRITISH AEROSPACE,BAC One-Eleven,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.50 m,32.61 m,7.47 m,"['BRITISH AEROSPACE One-Eleven', 'BRITISH AEROSPACE BAC-111 One-Eleven', 'BUCURESTI One-Eleven', 'BUCURESTI Rombac 1-11 One-Eleven', 'BAC One-Eleven', 'BAC 111 One-Eleven']"
BRITISH AEROSPACE AV-8 Harrier,BRITISH AEROSPACE,AV-8 Harrier,Narrow,High wing,Fixed Wing,"Regular tail, low set",Jet,Single,7.70 m,14.17 m,3.71 m,"['MCDONNELL DOUGLAS Matador', 'MCDONNELL DOUGLAS TAV-8 Harrier', 'MCDONNELL DOUGLAS TAV-8 Matador', 'MCDONNELL DOUGLAS AV-8 Harrier', 'MCDONNELL DOUGLAS Harrier', 'MCDONNELL DOUGLAS EAV-8 Matador', 'HAWKER SIDDELEY TAV-8 Harrier', 'HAWKER SIDDELEY Harrier', 'HAWKER SIDDELEY AV-8 Harrier', 'CASA EAV-8 Matador', 'CASA Matador', 'BOEING AV-8 Harrier', 'BRITISH AEROSPACE Sea Harrier', 'BRITISH AEROSPACE Harrier', 'BOEING Harrier', 'ALENIA Harrier', 'ALENIA AV-8 Harrier']"
BRITISH AEROSPACE Hawk,BRITISH AEROSPACE,Hawk,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Jet,Single,9.39 m,11.68 m,4.16 m,"['VALMET Hawk', 'MCDONNELL DOUGLAS T-45 Goshawk', 'MCDONNELL DOUGLAS Goshawk', 'HINDUSTAN Hawk', 'HAWKER SIDDELEY Hawk', 'F+W EMMEN Hawk', 'DENEL Hawk', 'BRITISH AEROSPACE T-45 Goshawk', 'BRITISH AEROSPACE Hawk', 'BRITISH AEROSPACE Goshawk', 'BOEING T-45 Goshawk', 'BAE SYSTEMS T-45 Goshawk', 'BAE SYSTEMS Hawk', 'BAE SYSTEMS Goshawk', 'BAE SYSTEMS CT-155 Hawk', 'BAE SYSTEMS AUSTRALIA Hawk', 'BOEING Goshawk']"
BRITISH AEROSPACE Jetstream 31,BRITISH AEROSPACE,Jetstream 31,Narrow,Low wing,Fixed Wing,Cruciform tail,Turboprop,Multi,15.85 m,14.37 m,5.32 m,
BRITISH AEROSPACE Jetstream 32,BRITISH AEROSPACE,Jetstream 32,Narrow,Low wing,Fixed Wing,Cruciform tail,Turboprop,Multi,15.85 m,14.37 m,5.38 m,"['JETSTREAM Jetstream Super 31', 'JETSTREAM BAe-3200 Jetstream Super 31', 'BRITISH AEROSPACE Jetstream Super 31', 'BRITISH AEROSPACE BAe-3200 Jetstream Super 31']"
BRITISH AEROSPACE Jetstream 41,BRITISH AEROSPACE,Jetstream 41,Narrow,Low wing,Fixed Wing,Cruciform tail,Turboprop,Multi,18.29 m,19.25 m,5.74 m,"['JETSTREAM BAe-4100 Jetstream 41', 'JETSTREAM Jetstream 41', 'BRITISH AEROSPACE Jetstream 41', 'BRITISH AEROSPACE BAe-4100 Jetstream 41', 'AI(R) Jetstream 41', 'AI(R) BAe-4100 Jetstream 41']"
BRITTEN-NORMAN BN-2 Islander,BRITTEN-NORMAN,BN-2 Islander,Narrow,,Fixed Wing,,Piston,Multi,14.94 m,10.86 m,4.18 m,"['ROMAERO Islander', 'ROMAERO BN-2B Islander', 'PILATUS BRITTEN-NORMAN BN-2B Islander', 'PILATUS BRITTEN-NORMAN Islander', 'PILATUS BRITTEN-NORMAN BN-2A Islander', 'PADC BN-2B Islander', 'PADC BN-2A Islander', 'PADC Islander', 'IRMA BN-2A Islander', 'IRMA BN-2B Islander', 'IRMA Islander', 'BRITTEN-NORMAN BN-2A Maritime Defender', 'BRITTEN-NORMAN Maritime Defender', 'BRITTEN-NORMAN Islander', 'BRITTEN-NORMAN Defender', 'BRITTEN-NORMAN BN-2A Islander', 'BRITTEN-NORMAN BN-2A Defender', 'BRITTEN-NORMAN BN-2 Islander', 'BRITTEN-NORMAN BN-2B Islander', 'BUCURESTI BN-2B Islander', 'BUCURESTI Islander', 'B-N GROUP BN-2B Islander', 'B-N GROUP Islander', 'AVIONS FAIREY Maritime Defender', 'AVIONS FAIREY BN-2B Islander', 'AVIONS FAIREY BN-2A Islander', 'AVIONS FAIREY BN-2A Defender', 'AVIONS FAIREY Defender', 'AVIONS FAIREY Islander', 'AVIONS FAIREY BN-2A Maritime Defender']"
BRITTEN-NORMAN BN-2T Turbine Islander,BRITTEN-NORMAN,BN-2T Turbine Islander,Narrow,,Fixed Wing,,Turboprop,Multi,15.00 m,10.90 m,4.20 m,"['ROMAERO Turbine Islander', 'ROMAERO BN-2T Defender 4000', 'ROMAERO Defender 4000', 'ROMAERO BN-2T Turbine Islander', 'PILATUS BRITTEN-NORMAN Turbine Islander', 'PILATUS BRITTEN-NORMAN BN-2T Defender 4000', 'PILATUS BRITTEN-NORMAN BN-2T Turbine Islander', 'PILATUS BRITTEN-NORMAN Defender 4000', 'BRITTEN-NORMAN BN-2T Turbine Islander', 'BRITTEN-NORMAN Defender 4000', 'BRITTEN-NORMAN Turbine Islander', 'BRITTEN-NORMAN BN-2T Defender 4000', 'BUCURESTI Turbine Islander', 'BUCURESTI BN-2T Turbine Islander', 'B-N GROUP Defender 4000', 'B-N GROUP BN-2T Defender 4000']"
BRITTEN-NORMAN BN2A Mk III Trislander,BRITTEN-NORMAN,BN2A Mk III Trislander,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,16.15 m,15.10 m,4.32 m,"['PILATUS BRITTEN-NORMAN BN-2A Mk3 Trislander', 'PILATUS BRITTEN-NORMAN Trislander', 'BRITTEN-NORMAN Trislander', 'BRITTEN-NORMAN BN-2A Mk3 Trislander', 'AVIONS FAIREY Trislander', 'AVIONS FAIREY BN-2A Mk3 Trislander', 'ANGLO NORMANDY BN-2A Mk3 Trislander', 'ANGLO NORMANDY Trislander']"
BUCKER BU-131 Jungmann,BUCKER,BU-131 Jungmann,Narrow,,Fixed Wing,,Piston,Single,7.40 m,6.62 m,2.35 m,"['SSH Jungmann', 'SSH T-131 Jungmann', 'DORNIER Lerche', 'DORNIER DoBuAPM-131 Jungmann', 'DORNIER DoBu-R170 Jungmann', 'DORNIER DoBu-131 Lerche', 'DORNIER Jungmann', 'DORNIER DoBu-131 Jungmann', 'CASA 1-131', 'BUCKER Jungmann', 'BUCKER BU-131 Jungmann', 'BUCKER PRADO Jungmann', 'BUCKER PRADO BU-131 Jungmann', 'AERO (2) Z-131', 'AERO (2) C-104']"
BUCKER BU-133 Jungmeister,BUCKER,BU-133 Jungmeister,Narrow,Biplane,Fixed Wing,,Piston,Single,6.60 m,6.00 m,2.20 m,"['DORNIER DoBu-133 Jungmeister', 'DORNIER Jungmeister', 'CASA 1-133', 'BUCKER Jungmeister', 'BUCKER BU-133 Jungmeister', 'BUCKER PRADO BU-133 Jungmeister', 'BUCKER PRADO Jungmeister', 'BITZ Jungmeister', 'BITZ BU-133 Jungmeister']"
CANADAIR CL-415 SuperScooper,CANADAIR,CL-415 SuperScooper,Narrow,,Fixed Wing,,Turboprop,Multi,28.63 m,19.82 m,8.98 m,"['CANADAIR SuperScooper', 'CANADAIR CL-415 SuperScooper', 'CANADAIR CL-215T', 'CANADAIR CL-415']"
CASA C-101 Aviojet,CASA,C-101 Aviojet,Narrow,,Fixed Wing,,Jet,Single,10.60 m,12.25 m,4.25 m,"['INDAER CHILE Halcon', 'INDAER CHILE A-36 Halcon', 'INDAER CHILE Aviojet', 'INDAER CHILE T-36 Aviojet', 'INDAER CHILE C-101 Aviojet', 'ENAER T-36 Aviojet', 'ENAER A-36 Halcon', 'ENAER Halcon', 'ENAER C-101 Aviojet', 'ENAER Aviojet', 'CASA Halcon', 'CASA A-36 Halcon', 'CASA C-101 Mirlo', 'CASA C-101 Aviojet', 'CASA Aviojet', 'CASA T-36 Aviojet', 'CASA Mirlo']"
CASA C-212 Aviocar,CASA,C-212 Aviocar,Narrow,,Fixed Wing,,Turboprop,Multi,20.30 m,16.20 m,6.60 m,"['NURTANIO Aviocar', 'NUSANTARA NC-212 Aviocar', 'NUSANTARA Aviocar', 'NURTANIO NC-212 Aviocar', 'DIRGANTARA NC-212 Aviocar', 'DIRGANTARA Aviocar', 'CASA Tp89 Aviocar', 'CASA Aviocar', 'CASA C-41 Aviocar', 'CASA C-212 Aviocar']"
CASA CN-235,CASA,CN-235,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,25.81 m,21.40 m,8.18 m,"['TUSAS CN-235', 'TUSAS CN-235 Persuader', 'TUSAS Persuader', 'NURTANIO CN-235', 'NUSANTARA CN-235', 'DIRGANTARA CN-235', 'CASA Ocean Sentry', 'CASA Persuader (CN-235)', 'CASA CN-235 Persuader', 'CASA CN-235', 'CASA HC-144 Ocean Sentry', 'AIRTECH (2) CN-235 Persuader', 'AIRTECH (2) CN-235', 'AIRTECH (2) Persuader']"
CESSNA 206 (turbine),CESSNA,206 (turbine),Narrow,,Fixed Wing,,Turboprop,Single,10.92 m,8.62 m,2.92 m,"['SOLOY Turbine 206', 'CESSNA 206 (turbine)']"
CESSNA 207 (turbine),CESSNA,207 (turbine),Narrow,,Fixed Wing,,Turboprop,Single,10.92 m,8.62 m,2.92 m,"['SOLOY Turbine 207', 'CESSNA 207 (turbine)']"
CESSNA P210 (turbine),CESSNA,P210 (turbine),Narrow,,Fixed Wing,,Turboprop,Single,11.20 m,8.59 m,2.95 m,"['CESSNA P210 (turbine)', 'ADVANCED AIRCRAFT Spirit 750', 'ADVANCED AIRCRAFT Turbine P210']"
CESSNA 150 Commuter,CESSNA,150 Commuter,Narrow,,Fixed Wing,,Piston,Single,10.20 m,6.60 m,2.10 m,"['REIMS F150 Commuter', 'REIMS Aerobat (FA150/FRA150)', 'REIMS F150', 'REIMS Commuter', 'REIMS FA150 Aerobat', 'REIMS FRA150 Aerobat', 'FMA A-A150 Aerobat', 'FMA A-150', 'FMA Aerobat', 'CESSNA 150 Commuter', 'CESSNA 150', 'CESSNA Aerobat (A150)', 'CESSNA A150 Aerobat', 'CESSNA Commuter', 'AVIONES COLOMBIA 150']"
CESSNA 152 Aerobat,CESSNA,152 Aerobat,Narrow,,Fixed Wing,,Piston,Single,10.20 m,7.30 m,2.60 m,"['REIMS FA152 Aerobat', 'REIMS Aerobat (FA152)', 'REIMS F152', 'CESSNA 152', 'CESSNA Aerobat (A152)', 'CESSNA A152 Aerobat', 'AVIONES COLOMBIA 152']"
CESSNA 162 SkyCatcher,CESSNA,162 SkyCatcher,Narrow,,Fixed Wing,,Piston,Single,9.14 m,6.95 m,2.53 m,"['CESSNA Sport', 'CESSNA 162 SkyCatcher', 'CESSNA LSA Sport', 'CESSNA SkyCatcher']"
CESSNA 172 Skyhawk,CESSNA,172 Skyhawk,Narrow,High wing (wing struts),Fixed Wing,"Regular tail, mid set",Piston,Single,10.90 m,8.20 m,2.70 m,"['REIMS Hawk XP', 'REIMS FP172', 'REIMS FR172 Reims Rocket', 'REIMS Reims Rocket', 'REIMS Skyhawk', 'REIMS FR172 Hawk XP', 'REIMS F172', 'REIMS F172 Skyhawk', 'FMA P-172', 'CESSNA 172 Skyhawk', 'CESSNA 172 Cutlass', 'CESSNA 172', 'CESSNA Cutlass', 'CESSNA T-41 Mescalero', 'CESSNA P172 Skyhawk Powermatic', 'CESSNA R172', 'CESSNA Skyhawk Powermatic', 'CESSNA R172 Hawk XP', 'CESSNA Mescalero', 'CESSNA Skyhawk', 'CESSNA Hawk XP', 'AVIONES COLOMBIA 172']"
CESSNA 177 Cardinal,CESSNA,177 Cardinal,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.80 m,8.20 m,2.80 m,"['CESSNA 177 Cardinal', 'CESSNA 177', 'CESSNA Cardinal']"
CESSNA 182 Skylane,CESSNA,182 Skylane,Narrow,,Fixed Wing,,Piston,Single,11.00 m,8.60 m,2.80 m,"['WREN 460', 'REIMS Skylane', 'REIMS F182 Skylane', 'FMA A-182', 'DINFIA A-182', 'CESSNA 182 Skylane', 'CESSNA 182', 'CESSNA Turbo Skylane', 'CESSNA T182 Turbo Skylane', 'CESSNA Skylane', 'AVIONES COLOMBIA 182']"
CESSNA 185 Skywagon,CESSNA,185 Skywagon,Narrow,,Fixed Wing,,Piston,Single,10.92 m,7.85 m,2.36 m,"['ST. JUST Super Cyclone', 'CESSNA A185 Skywagon 185', 'CESSNA AgCarryall', 'CESSNA A185 AgCarryall', 'CESSNA 185 Skywagon', 'CESSNA U-17B', 'CESSNA U-17A', 'CESSNA Skywagon 185', 'CESSNA Skywagon', 'AVIATECH Super Cyclone', 'AVIONES COLOMBIA 185']"
CESSNA 205 Super Skywagon,CESSNA,205 Super Skywagon,Narrow,,Fixed Wing,,Piston,Single,10.92 m,8.62 m,2.92 m,['CESSNA 205']
CESSNA 207 Stationair 7,CESSNA,207 Stationair 7,Narrow,,Fixed Wing,,Piston,Single,10.92 m,8.62 m,2.92 m,"['REIMS F207', 'CESSNA 207 Stationair 8', 'CESSNA Turbo Stationair 8', 'CESSNA Turbo Stationair 7', 'CESSNA Turbo Skywagon 207', 'CESSNA T207 Turbo Skywagon 207', 'CESSNA T207 Turbo Stationair 7', 'CESSNA Stationair 8', 'CESSNA Stationair 7', 'CESSNA T207 Turbo Stationair 8', 'CESSNA 207 Skywagon 207', 'CESSNA 207 Stationair 7', 'CESSNA Skywagon 207']"
CESSNA 208 Grand Caravan,CESSNA,208 Grand Caravan,Narrow,High wing (wing struts),Fixed Wing,"Regular tail, mid set",Turboprop,Single,15.90 m,11.50 m,4.30 m,"['CESSNA Caravan 1', 'CESSNA Cargomaster', 'CESSNA C-98', 'CESSNA Grand Caravan', 'CESSNA U-27', 'CESSNA Super Cargomaster', 'CESSNA 208 Super Cargomaster', 'CESSNA 208 Grand Caravan', 'CESSNA 208 Cargomaster', 'CESSNA 208 Caravan 1']"
CESSNA 210 Centurion,CESSNA,210 Centurion,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Single,11.20 m,8.60 m,3.00 m,"['CESSNA 210', 'CESSNA Centurion', 'CESSNA Turbo Centurion', 'CESSNA T210 Turbo Centurion', 'CESSNA 210 Centurion', 'AVIONES COLOMBIA 210']"
CESSNA 525A Citation CJ2,CESSNA,525A Citation CJ2,Narrow,,Fixed Wing,,Jet,Multi,15.10 m,14.30 m,4.20 m,"['CESSNA 525A Citation CJ2', 'CESSNA Citation CJ2']"
CESSNA C-303T,CESSNA,C-303T,Narrow,,Fixed Wing,,Piston,Multi,11.90 m,9.30 m,4.10 m,"['CESSNA Crusader', 'CESSNA T303 Crusader', 'AVIONES COLOMBIA T303']"
CESSNA 310,CESSNA,310,Narrow,,Fixed Wing,,Piston,Multi,11.30 m,9.70 m,3.30 m,"['RILEY 65', 'RILEY Rocket', 'RILEY Turbostream', 'RILEY Turbo-Rocket', 'RILEY Super 310', 'COLEMILL Executive 600', 'COLEMILL Bearcat', 'CESSNA 310', 'CESSNA L-27', 'CESSNA U-3', 'CESSNA T310', 'AVIONES COLOMBIA 310']"
CESSNA 337 Super Skymaster,CESSNA,337 Super Skymaster,Narrow,,Fixed Wing,,Piston,Multi,11.60 m,9.10 m,2.80 m,"['SUMMIT O2-337 Sentry', 'SUMMIT Sentry', 'REIMS F337 Super Skymaster', 'REIMS FT337E Turbo Super Skymaster', 'REIMS FT337F Turbo Super Skymaster', 'REIMS FTB337 Milirole', 'REIMS Milirole', 'REIMS Super Skymaster', 'REIMS Turbo Super Skymaster', 'CESSNA 337 Super Skymaster', 'CESSNA MC337 Super Skymaster', 'CESSNA Turbo Super Skymaster', 'CESSNA Super Skymaster', 'CESSNA T337D Turbo Super Skymaster', 'CESSNA T337H Turbo Super Skymaster', 'CESSNA T337E Turbo Super Skymaster', 'CESSNA T337C Turbo Super Skymaster', 'CESSNA T337B Turbo Super Skymaster', 'CESSNA T337F Turbo Super Skymaster', 'CESSNA M337 Super Skymaster', 'CESSNA O-2 Super Skymaster', 'AVIONES COLOMBIA 337']"
CESSNA 340,CESSNA,340,Narrow,,Fixed Wing,,Piston,Multi,11.60 m,10.50 m,3.80 m,"['RILEY Super 340', 'RILEY Rocket 340', 'CESSNA 340', 'AVIONES COLOMBIA 340']"
CESSNA 402 Businessliner,CESSNA,402 Businessliner,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,13.50 m,11.10 m,3.60 m,"['CESSNA 402 Businessliner', 'CESSNA 402', 'CESSNA 401', 'CESSNA 402 Utililiner', 'CESSNA Businessliner', 'CESSNA Utililiner', 'AVIONES COLOMBIA 402']"
CESSNA 404 Titan,CESSNA,404 Titan,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,15.10 m,11.90 m,4.00 m,"['CESSNA 404 Titan', 'CESSNA Titan']"
CESSNA 411,CESSNA,411,Narrow,,Fixed Wing,,Piston,Multi,12.15 m,10.20 m,3.52 m,['CESSNA 411']
