name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
ECLIPSE Eclipse 500,ECLIPSE,Eclipse 500,Narrow,,Fixed Wing,,Jet,Multi,11.40 m,10.10 m,3.40 m,['ECLIPSE Eclipse 500']
EMBRAER Bandeirante,EMBRAER,Bandeirante,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,15.32 m,15.10 m,4.92 m,"['EMBRAER C-95 Bandeirante', 'EMBRAER Bandeirulha', 'EMBRAER P-95 Bandeirulha', 'EMBRAER R-95 Bandeirante', 'EMBRAER SC-95 Bandeirante', 'EMBRAER EMB-111 Bandeirulha', 'EMBRAER EMB-110 Bandeirante', 'EMBRAER EC-95 Bandeirante', 'EMBRAER Bandeirante']"
EMBRAER Brasilia,EMBRAER,Brasilia,Narrow,Low wing,Fixed Wing,T-tail,Turboprop,Multi,19.77 m,19.63 m,6.05 m,"['NEIVA Brasilia', 'NEIVA EMB-120 Brasilia', 'EMBRAER VC-97 Brasilia', 'EMBRAER Brasilia', 'EMBRAER EMB-120 Brasilia']"
EMBRAER Xingu,EMBRAER,Xingu,Narrow,Low wing,Fixed Wing,T-tail,Turboprop,Multi,14.45 m,12.25 m,4.74 m,"['EMBRAER VU-9 Xingu', 'EMBRAER Xingu', 'EMBRAER EC-9 Xingu', 'EMBRAER EMB-121 Xingu']"
EMBRAER ERJ-135,EMBRAER,ERJ-135,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,20.04 m,26.33 m,6.76 m,"['EMBRAER ERJ-135', 'EMBRAER ERJ-140', 'EMBRAER Legacy 600', 'EMBRAER EMB-135', 'EMBRAER EMB-135 Legacy 600']"
EMBRAER ERJ-145,EMBRAER,ERJ-145,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,20.04 m,29.87 m,6.76 m,"['HARBIN EMBRAER EMB-145LI', 'HARBIN EMBRAER ERJ-145LI', 'EMBRAER ERJ-145ER', 'EMBRAER ERJ-145EU', 'EMBRAER ERJ-145LR', 'EMBRAER ERJ-145MP', 'EMBRAER P-99', 'EMBRAER R-99', 'EMBRAER EMB-145LR', 'EMBRAER EMB-145MP/ASW', 'EMBRAER ERJ-145LU', 'EMBRAER EMB-145MP', 'EMBRAER EMB-145AEW', 'EMBRAER EMB-145EP', 'EMBRAER EMB-145ER', 'EMBRAER EMB-145RS', 'EMBRAER EMB-145EU', 'EMBRAER EMB-145SA', 'EMBRAER EMB-145LU', 'EMBRAER ERJ-145EP', 'EMBRAER C-99']"
EMBRAER ERJ 170-100,EMBRAER,ERJ 170-100,Narrow,Low wing (winglets),Fixed Wing,Regular tail (Dihedral),Jet,Multi,26.00 m,29.90 m,9.85 m,"['EMBRAER ERJ-170', 'EMBRAER 175', 'EMBRAER 170']"
EMBRAER ERJ 190-100,EMBRAER,ERJ 190-100,Narrow,Low wing (winglets),Fixed Wing,Regular tail (Dihedral),Jet,Multi,28.72 m,36.24 m,10.57 m,"['EMBRAER 195', 'EMBRAER ERJ-190 Lineage 1000', 'EMBRAER ERJ-190', 'EMBRAER Lineage 1000', 'EMBRAER 190']"
EMBRAER ERJ 190-200,EMBRAER,ERJ 190-200,Narrow,Low wing (winglets),Fixed Wing,"Regular tail, low set",Jet,Multi,28.72 m,38.65 m,10.55 m,
EMBRAER E175-E2,EMBRAER,E175-E2,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,31.00 m,32.40 m,9.98 m,
EMBRAER E190-E2,EMBRAER,E190-E2,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,33.70 m,36.20 m,11.00 m,
EMBRAER E195-E2,EMBRAER,E195-E2,Narrow,Low wing (anhedral with cone),Fixed Wing,"Regular tail, mid set",Jet,Multi,35.10 m,41.50 m,10.90 m,
EMBRAER EMB-135BJ Legacy 600,EMBRAER,EMB-135BJ Legacy 600,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,21.17 m,26.33 m,6.76 m,
EMBRAER ERJ-145XR,EMBRAER,ERJ-145XR,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,,20.04 m,29.87 m,6.76 m,"['EMBRAER ERJ-145XR', 'EMBRAER EMB-145XR']"
EMBRAER Phenom 100,EMBRAER,Phenom 100,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,12.30 m,12.82 m,4.35 m,"['EMBRAER Phenom 100', 'EMBRAER EMB-500 Phenom 100']"
EMBRAER EMB-545 Legacy 450,EMBRAER,EMB-545 Legacy 450,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,20.25 m,19.69 m,6.43 m,
EMBRAER EMB-550 Legacy 500,EMBRAER,EMB-550 Legacy 500,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,20.25 m,20.74 m,6.44 m,
EMBRAER Phenom 300,EMBRAER,Phenom 300,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,15.90 m,15.60 m,5.10 m,"['EMBRAER EMB-505 Phenom 300', 'EMBRAER Phenom 300']"
EMBRAER ERJ 170-200 (long wing),EMBRAER,ERJ 170-200 (long wing),Narrow,Low wing (winglets),Fixed Wing,Regular tail (Dihedral),Jet,Multi,28.65 m,31.68 m,9.86 m,
EMBRAER ERJ 170-200 (short wing),EMBRAER,ERJ 170-200 (short wing),Narrow,Low wing (winglets),Fixed Wing,Regular tail (Dihedral),Jet,Multi,26.00 m,31.68 m,9.86 m,
EMBRAER A-27 Tucano,EMBRAER,A-27 Tucano,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Single,11.14 m,9.86 m,3.40 m,"['SHORT Tucano', 'SHORT S-312 Tucano', 'EMBRAER T-27 Tucano', 'EMBRAER A-27 Tucano', 'EMBRAER EMB-312F Tucano', 'EMBRAER EMB-312 Tucano', 'EMBRAER Tucano', 'AOI EMB-312 Tucano', 'AOI Tucano']"
EUROFIGHTER Eurofighter Typhoon,EUROFIGHTER,Eurofighter Typhoon,Narrow,,Fixed Wing,,Jet,Multi,10.95 m,15.96 m,5.28 m,"['EUROFIGHTER Eurofighter 2000', 'EUROFIGHTER Typhoon', 'DASA Eurofighter 2000', 'DASA Typhoon', 'CASA Typhoon', 'CASA Eurofighter 2000', 'BRITISH AEROSPACE Typhoon', 'BRITISH AEROSPACE Eurofighter 2000', 'BAE SYSTEMS Typhoon', 'BAE SYSTEMS Eurofighter 2000', 'ALENIA Typhoon', 'ALENIA Eurofighter 2000']"
EXPLORER Explorer 500T,EXPLORER,Explorer 500T,Narrow,,Fixed Wing,,Turboprop,Single,,,,"['EXPLORER (2) Explorer 500T', 'AEA Explorer 500T']"
EXTRA EA-500,EXTRA,EA-500,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Single,11.50 m,10.00 m,3.30 m,['EXTRA EA-500']
EXTRA EA-200,EXTRA,EA-200,Narrow,,Fixed Wing,,Turboprop,Single,,,,['EXTRA EA-200']
EXTRA EA-230,EXTRA,EA-230,Narrow,,Fixed Wing,,Piston,Single,,,,['EXTRA EA-230']
EXTRA EA-300,EXTRA,EA-300,Narrow,,Fixed Wing,,Piston,Single,,,,"['EXTRA EA-330', 'EXTRA EA-350', 'EXTRA EA-300']"
EXTRA EA-400,EXTRA,EA-400,Narrow,,Fixed Wing,,Turboprop,Single,11.50 m,9.90 m,3.00 m,['EXTRA EA-400']
FAIRCHILD A-10 Thunderbolt 2,FAIRCHILD,A-10 Thunderbolt 2,Narrow,Low wing,Fixed Wing,"Double fin, low set",Jet,Multi,17.53 m,16.26 m,4.47 m,"['FAIRCHILD (1) Thunderbolt 2', 'FAIRCHILD (1) OA-10 Thunderbolt 2', 'FAIRCHILD (1) A-10 Thunderbolt 2']"
FAIRCHILD DORNIER 228,FAIRCHILD DORNIER,228,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,16.97 m,16.56 m,4.86 m,"['RUAG Dornier 228', 'HINDUSTAN 228', 'FAIRCHILD DORNIER 228', 'DORNIER 228']"
FAIRCHILD DORNIER 328,FAIRCHILD DORNIER,328,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,20.98 m,21.11 m,7.24 m,"['FAIRCHILD DORNIER 328', 'DORNIER 328']"
FAIRCHILD DORNIER 328JET,FAIRCHILD DORNIER,328JET,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,20.90 m,20.90 m,7.20 m,"['RUAG Dornier 328 JET Envoy', 'FAIRCHILD DORNIER 328JET Envoy 3', 'FAIRCHILD DORNIER 328JET', 'FAIRCHILD DORNIER Envoy 3', 'AVCRAFT Dornier 328JET', '328 SUPPORT SERVICES Dornier 328JET']"
FFA AS-202 Bravo,FFA,AS-202 Bravo,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Piston,Single,9.75 m,7.50 m,2.81 m,"['FFA Wren', 'FFA AS-202-18 Wren', 'FFA Bravo', 'FFA AS-202-15 Bravo', 'FFA AS-202-18 Bravo', 'FFA AS-202-26 Bravo']"
FFA AS-202-32TP Turbine Bravo,FFA,AS-202-32TP Turbine Bravo,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Turboprop,Single,9.65 m,8.86 m,3.04 m,"['FFA AS-202-32TP Turbine Bravo', 'FFA Turbine Bravo']"
FOKKER F100,FOKKER,F100,Narrow,,Fixed Wing,,Jet,Multi,28.10 m,35.50 m,8.50 m,['FOKKER 100']
FOKKER F-27 Friendship,FOKKER,F-27 Friendship,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,29.00 m,23.10 m,8.50 m,"['FOKKER F-27 Maritime', 'FAIRCHILD HILLER FH-227', 'FAIRCHILD HILLER F-27', 'FOKKER Friendship', 'FOKKER Maritime', 'FOKKER F-27 Troopship', 'FOKKER Troopship', 'FOKKER F-27 Friendship', 'FOKKER C-31 Friendship', 'FAIRCHILD (1) F-27', 'CONAIR F-27 Firefighter', 'CONAIR Firefighter']"
FOKKER F-28 Fellowship,FOKKER,F-28 Fellowship,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,27.07 m,27.40 m,8.50 m,"['FOKKER F-28 Fellowship', 'FOKKER Fellowship']"
FOKKER F50,FOKKER,F50,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,29.00 m,25.20 m,8.40 m,"['FOKKER Fokker 50 Freighter', 'FOKKER Maritime Enforcer', 'FOKKER 50', 'FOKKER 50 Maritime Enforcer']"
FOKKER F70,FOKKER,F70,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.10 m,30.90 m,8.50 m,['FOKKER 70']
